Serie;id;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;1603;Valdemorillo;191.235.465,00;198.652.637,00;200.566.489,00;212.602.285,00;225.080.067,00;241.169.802,00;260.868.382,00;280.435.700,00;309.214.332,00;
Municipios;1610;Valdemoro;955.840.982,00;982.219.974,00;1.040.301.173,00;1.097.695.650,00;1.168.919.895,00;1.189.528.317,00;1.275.705.562,00;1.405.286.888,00;1.542.808.134,00;
Municipios;1625;Valdeolmos-Alalpardo;64.576.022,00;66.505.455,00;70.396.046,00;77.094.256,00;78.200.344,00;80.857.950,00;85.782.872,00;95.478.432,00;103.024.828,00;
Municipios;1631;Valdepiélagos;6.705.894,00;6.843.894,00;7.238.660,00;7.703.976,00;8.440.296,00;8.846.052,00;9.274.077,00;9.781.086,00;10.184.292,00;
Municipios;1646;Valdetorres de Jarama;53.761.626,00;55.484.052,00;59.110.197,00;64.418.375,00;67.702.656,00;69.697.152,00;74.762.850,00;82.755.720,00;91.725.920,00;
Municipios;1659;Valdilecha;27.300.996,00;27.386.456,00;30.659.040,00;32.628.661,00;34.710.975,00;35.408.472,00;39.005.857,00;41.089.040,00;44.834.175,00;
Municipios;1662;Valverde de Alcalá;5.754.679,00;5.736.588,00;6.348.390,00;6.831.315,00;7.425.594,00;8.273.034,00;8.411.984,00;8.552.416,00;10.017.195,00;
Municipios;1678;Velilla de San Antonio;156.099.440,00;161.495.750,00;167.752.316,00;176.698.592,00;185.649.482,00;190.753.044,00;205.410.402,00;230.221.718,00;262.375.008,00;
Municipios;1684;Vellón (El);21.091.816,00;21.843.642,00;24.192.937,00;25.733.136,00;27.173.718,00;28.315.384,00;30.027.492,00;32.520.169,00;35.876.715,00;
Municipios;1697;Venturada;44.928.675,00;46.033.960,00;48.076.616,00;51.994.852,00;57.405.514,00;58.809.036,00;63.320.592,00;74.615.850,00;75.699.375,00;
Municipios;1718;Villa del Prado;61.784.800,00;63.494.694,00;66.831.250,00;71.895.276,00;77.465.622,00;83.002.721,00;88.395.832,00;94.963.734,00;106.275.400,00;
Municipios;1701;Villaconejos;28.711.844,00;30.897.216,00;32.247.404,00;34.226.025,00;36.219.776,00;38.132.808,00;40.863.548,00;44.299.206,00;46.871.705,00;
Municipios;1723;Villalbilla;207.929.196,00;220.611.660,00;233.721.814,00;252.422.012,00;277.633.148,00;291.148.617,00;321.294.636,00;365.907.318,00;416.526.948,00;
Municipios;1739;Villamanrique de Tajo;7.213.888,00;7.191.237,00;7.144.900,00;7.812.645,00;8.418.249,00;9.458.320,00;9.896.679,00;10.774.120,00;11.448.840,00;
Municipios;1744;Villamanta;25.570.585,00;25.669.532,00;28.114.434,00;29.569.698,00;31.581.135,00;32.596.520,00;35.786.892,00;38.829.050,00;42.089.047,00;
Municipios;1757;Villamantilla;16.839.192,00;17.577.432,00;18.540.350,00;19.660.262,00;20.754.655,00;22.513.478,00;24.380.368,00;27.010.280,00;29.563.380,00;
Municipios;1782;Villanueva de Perales;19.218.066,00;19.489.518,00;20.951.514,00;20.640.785,00;21.720.816,00;22.787.733,00;23.837.814,00;25.522.560,00;28.149.198,00;
Municipios;1760;Villanueva de la Cañada;380.498.088,00;408.549.135,00;427.491.564,00;464.728.473,00;497.684.862,00;507.248.640,00;551.213.170,00;600.253.280,00;653.712.064,00;
Municipios;1776;Villanueva del Pardillo;279.809.166,00;290.094.540,00;301.341.624,00;318.476.880,00;337.844.700,00;331.334.017,00;357.530.315,00;386.612.565,00;426.753.381,00;
Municipios;1795;Villar del Olmo;28.395.642,00;28.165.250,00;28.980.843,00;31.112.599,00;33.895.848,00;35.777.133,00;38.178.957,00;41.282.544,00;45.626.980,00;
Municipios;1809;Villarejo de Salvanés;75.520.800,00;78.907.572,00;82.387.780,00;86.343.663,00;92.982.512,00;95.711.479,00;101.778.197,00;107.641.848,00;117.485.284,00;
Municipios;1816;Villaviciosa de Odón;550.998.800,00;579.709.464,00;601.735.392,00;622.551.300,00;674.127.168,00;657.587.447,00;697.569.264,00;763.990.164,00;832.613.660,00;
Municipios;1821;Villavieja del Lozoya;3.777.469,00;3.694.479,00;3.602.844,00;3.954.272,00;4.537.539,00;5.010.950,00;5.082.085,00;5.607.413,00;6.999.762,00;
Municipios;1837;Zarzalejo;16.046.430,00;16.215.552,00;17.372.158,00;18.650.016,00;20.881.152,00;21.236.562,00;22.725.572,00;25.070.818,00;28.330.048,00;
