Serie;id;Nombre;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;1760;Villanueva de la Cañada;6;6;8;5;5;8;8;10;10;11;11;11;11;11;13;13;11;11;11;12;12;12;10;11;10;10;13;13;13;13;13;
Municipios;1776;Villanueva del Pardillo;4;4;4;4;4;4;5;5;5;6;6;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;10;10;10;10;11;
Municipios;1795;Villar del Olmo;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Municipios;1809;Villarejo de Salvanés;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
Municipios;1816;Villaviciosa de Odón;8;8;6;6;6;6;6;6;6;6;7;7;8;8;8;9;9;8;9;10;8;8;9;9;9;9;9;9;9;9;10;
Municipios;1821;Villavieja del Lozoya;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;
Municipios;1837;Zarzalejo;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;5;4;4;5;
Notas;
Madrid: En los años anteriores al 2010 no se ha recogido información relativa a la E.M.T, ni las conexiones de Madrid hacia otros municipios.;
;
A partir de 2018 se consideran el conjunto de líneas de todos los modos de transporte público (Cercanías, Metro, Metro Ligero, autobuses de la EMT, autobuses interurbanos y autobuses urbanos.;
;
