Serie;id;Nombre;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Municipios;1013;Olmeda de las Fuentes;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1028;Orusco de Tajuña;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1049;Paracuellos de Jarama;34,00;34,00;34,00;36,00;36,00;36,00;38,00;38,00;38,00;39,00;39,00;39,00;41,00;54,00;76,00;79,00;79,00;79,00;79,00;83,00;82,00;81,00;78,00;91,00;98,00;100,00;99,00;99,00;102,00;105,00;102,00;
Municipios;1065;Parla;77,00;77,00;68,00;72,00;72,00;72,00;104,00;91,00;91,00;107,00;115,00;109,00;108,00;106,00;127,00;131,00;137,00;141,00;165,00;151,00;148,00;139,00;139,00;237,00;139,00;139,00;139,00;140,00;141,00;143,00;140,00;
Municipios;1071;Patones;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;6,00;5,00;4,00;4,00;4,00;4,00;10,00;10,00;10,00;11,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;
Municipios;1087;Pedrezuela;4,00;4,00;3,00;3,00;3,00;3,00;4,00;4,00;17,00;18,00;18,00;18,00;17,00;18,00;20,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;25,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;
Municipios;1090;Pelayos de la Presa;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;8,00;8,00;8,00;8,00;8,00;6,00;8,00;8,00;6,00;8,00;8,00;8,00;8,00;6,00;7,00;6,00;
Municipios;1104;Perales de Tajuña;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;5,00;8,00;6,00;6,00;8,00;8,00;8,00;8,00;10,00;10,00;10,00;10,00;10,00;10,00;12,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;
Municipios;1111;Pezuela de las Torres;3,00;3,00;2,00;2,00;2,00;5,00;5,00;5,00;5,00;3,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;6,00;6,00;6,00;8,00;4,00;4,00;10,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1126;Pinilla del Valle;1,00;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;0,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Municipios;1132;Pinto;38,00;38,00;41,00;42,00;42,00;42,00;50,00;50,00;63,00;63,00;72,00;63,00;76,00;85,00;85,00;92,00;91,00;91,00;100,00;75,00;74,00;75,00;74,00;128,00;71,00;71,00;71,00;71,00;71,00;84,00;86,00;
Municipios;1147;Piñuécar-Gandullas;3,00;3,00;3,00;3,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;
Municipios;1150;Pozuelo de Alarcón;280,00;280,00;315,00;315,00;348,00;354,00;360,00;360,00;361,00;390,00;396,00;272,00;296,00;301,00;306,00;288,00;288,00;283,00;287,00;283,00;283,00;280,00;281,00;499,00;283,00;295,00;296,00;301,00;312,00;322,00;311,00;
Municipios;1163;Pozuelo del Rey;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;
Municipios;1179;Prádena del Rincón;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1185;Puebla de la Sierra;0,00;0,00;0,00;0,00;0,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;9020;Puentes Viejas;8,00;8,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;11,00;11,00;12,00;12,00;12,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;
Municipios;1198;Quijorna;4,00;4,00;4,00;4,00;4,00;4,00;4,00;6,00;6,00;6,00;6,00;5,00;5,00;5,00;9,00;9,00;9,00;9,00;9,00;8,00;8,00;8,00;8,00;10,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;
Municipios;1202;Rascafría;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;7,00;7,00;10,00;9,00;9,00;12,00;12,00;12,00;12,00;14,00;12,00;12,00;13,00;13,00;13,00;12,00;12,00;
Municipios;1219;Redueña;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1224;Ribatejada;3,00;3,00;3,00;3,00;5,00;5,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;17,00;17,00;19,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;
Municipios;1230;Rivas-Vaciamadrid;41,00;41,00;38,00;38,00;63,00;69,00;80,00;90,00;95,00;146,00;146,00;129,00;206,00;211,00;219,00;222,00;222,00;218,00;236,00;206,00;210,00;210,00;210,00;277,00;212,00;228,00;206,00;210,00;209,00;215,00;209,00;
Municipios;1245;Robledillo de la Jara;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;4,00;4,00;6,00;8,00;8,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;
Municipios;1258;Robledo de Chavela;2,00;2,00;2,00;2,00;10,00;16,00;16,00;20,00;23,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;24,00;25,00;31,00;31,00;31,00;31,00;31,00;32,00;31,00;31,00;31,00;31,00;32,00;32,00;33,00;
Municipios;1261;Robregordo;4,00;4,00;5,00;5,00;3,00;3,00;2,00;2,00;2,00;2,00;2,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1277;Rozas de Madrid (Las);137,00;137,00;149,00;151,00;154,00;175,00;198,00;199,00;202,00;204,00;218,00;196,00;211,00;211,00;222,00;219,00;224,00;224,00;231,00;226,00;224,00;227,00;228,00;278,00;235,00;240,00;241,00;243,00;243,00;257,00;250,00;
Municipios;1283;Rozas de Puerto Real;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;5,00;5,00;4,00;4,00;6,00;5,00;6,00;6,00;6,00;8,00;8,00;6,00;7,00;6,00;12,00;6,00;8,00;8,00;8,00;8,00;8,00;8,00;
Municipios;1296;San Agustín del Guadalix;8,00;8,00;8,00;9,00;9,00;15,00;11,00;11,00;11,00;11,00;11,00;10,00;12,00;12,00;12,00;11,00;11,00;13,00;13,00;13,00;13,00;13,00;13,00;17,00;13,00;13,00;13,00;13,00;14,00;14,00;14,00;
Municipios;1300;San Fernando de Henares;58,00;58,00;43,00;49,00;49,00;53,00;54,00;58,00;63,00;72,00;77,00;69,00;68,00;70,00;76,00;80,00;80,00;81,00;87,00;80,00;79,00;83,00;82,00;107,00;90,00;87,00;89,00;94,00;94,00;95,00;94,00;
Municipios;1317;San Lorenzo de El Escorial;22,00;22,00;24,00;25,00;26,00;26,00;26,00;22,00;22,00;22,00;40,00;40,00;43,00;43,00;43,00;43,00;43,00;43,00;61,00;59,00;57,00;59,00;59,00;62,00;60,00;60,00;60,00;60,00;58,00;58,00;57,00;
Municipios;1338;San Martín de Valdeiglesias;6,00;6,00;4,00;4,00;4,00;4,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;9,00;9,00;9,00;7,00;10,00;8,00;8,00;15,00;7,00;7,00;7,00;8,00;11,00;9,00;10,00;
Municipios;1322;San Martín de la Vega;23,00;23,00;21,00;20,00;20,00;20,00;21,00;21,00;22,00;35,00;35,00;34,00;35,00;35,00;39,00;53,00;53,00;54,00;59,00;53,00;52,00;52,00;51,00;63,00;46,00;49,00;48,00;47,00;47,00;47,00;47,00;
Municipios;1343;San Sebastián de los Reyes;78,00;78,00;81,00;81,00;83,00;90,00;98,00;97,00;104,00;104,00;107,00;101,00;106,00;117,00;122,00;127,00;163,00;163,00;167,00;171,00;173,00;171,00;171,00;193,00;171,00;171,00;171,00;171,00;168,00;170,00;167,00;
Municipios;1356;Santa María de la Alameda;5,00;5,00;8,00;8,00;10,00;12,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;13,00;12,00;15,00;16,00;20,00;20,00;18,00;18,00;18,00;20,00;24,00;20,00;20,00;20,00;20,00;21,00;21,00;21,00;
Municipios;1369;Santorcaz;2,00;2,00;2,00;2,00;2,00;2,00;2,00;3,00;4,00;4,00;4,00;3,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;4,00;4,00;2,00;2,00;4,00;2,00;2,00;2,00;2,00;2,00;3,00;3,00;
Municipios;1375;Santos de la Humosa (Los);3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;4,00;4,00;4,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;3,00;3,00;3,00;3,00;3,00;
Municipios;1381;Serna del Monte (La);7,00;7,00;6,00;6,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1408;Serranillos del Valle;9,00;9,00;6,00;6,00;6,00;7,00;8,00;10,00;10,00;10,00;10,00;10,00;11,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;19,00;
Municipios;1415;Sevilla la Nueva;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;11,00;11,00;11,00;15,00;15,00;15,00;17,00;17,00;17,00;17,00;17,00;18,00;23,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;
Municipios;1436;Somosierra;2,00;2,00;2,00;2,00;2,00;2,00;3,00;2,00;2,00;2,00;5,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;5,00;2,00;2,00;2,00;2,00;5,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1441;Soto del Real;8,00;8,00;12,00;12,00;12,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;15,00;15,00;19,00;20,00;20,00;20,00;20,00;23,00;23,00;23,00;23,00;28,00;23,00;23,00;23,00;23,00;23,00;23,00;23,00;
Municipios;1454;Talamanca de Jarama;4,00;4,00;4,00;4,00;4,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;8,00;6,00;6,00;6,00;6,00;7,00;7,00;8,00;
Municipios;1467;Tielmes;6,00;6,00;7,00;7,00;7,00;7,00;7,00;9,00;11,00;11,00;11,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;8,00;8,00;8,00;8,00;8,00;9,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;
Municipios;1473;Titulcia;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;3,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1489;Torrejón de Ardoz;94,00;94,00;103,00;110,00;116,00;118,00;117,00;94,00;100,00;105,00;107,00;99,00;101,00;101,00;118,00;124,00;128,00;131,00;147,00;142,00;139,00;144,00;148,00;165,00;146,00;155,00;154,00;153,00;156,00;160,00;159,00;
Municipios;1505;Torrejón de Velasco;1,00;1,00;1,00;1,00;1,00;1,00;5,00;5,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;11,00;9,00;9,00;11,00;11,00;11,00;11,00;11,00;10,00;10,00;10,00;10,00;10,00;
Municipios;1492;Torrejón de la Calzada;4,00;4,00;8,00;8,00;10,00;10,00;15,00;15,00;15,00;15,00;17,00;15,00;15,00;14,00;16,00;16,00;16,00;16,00;17,00;16,00;16,00;14,00;14,00;19,00;14,00;14,00;15,00;15,00;15,00;15,00;15,00;
Municipios;1512;Torrelaguna;2,00;2,00;4,00;4,00;2,00;3,00;3,00;4,00;4,00;4,00;4,00;3,00;3,00;3,00;3,00;5,00;5,00;5,00;5,00;5,00;6,00;6,00;6,00;7,00;6,00;6,00;7,00;7,00;7,00;7,00;7,00;
Municipios;1527;Torrelodones;69,00;69,00;68,00;69,00;69,00;69,00;78,00;78,00;79,00;108,00;108,00;102,00;122,00;123,00;130,00;131,00;131,00;132,00;132,00;132,00;117,00;119,00;117,00;166,00;124,00;124,00;124,00;124,00;122,00;123,00;124,00;
Municipios;1533;Torremocha de Jarama;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;8,00;8,00;
Municipios;1548;Torres de la Alameda;9,00;9,00;8,00;8,00;8,00;10,00;10,00;12,00;14,00;17,00;17,00;15,00;18,00;20,00;20,00;20,00;22,00;21,00;26,00;22,00;22,00;22,00;22,00;28,00;22,00;22,00;22,00;22,00;22,00;22,00;22,00;
Municipios;9036;Tres Cantos;60,00;60,00;76,00;80,00;87,00;87,00;87,00;91,00;97,00;102,00;102,00;102,00;106,00;103,00;103,00;107,00;104,00;105,00;108,00;115,00;111,00;116,00;116,00;136,00;123,00;134,00;135,00;137,00;137,00;138,00;150,00;
Municipios;1551;Valdaracete;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;4,00;4,00;4,00;4,00;4,00;6,00;6,00;8,00;6,00;6,00;8,00;6,00;6,00;6,00;6,00;8,00;8,00;8,00;
Municipios;1564;Valdeavero;5,00;5,00;7,00;7,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;2,00;2,00;2,00;2,00;7,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;
Municipios;1570;Valdelaguna;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;4,00;4,00;4,00;4,00;6,00;6,00;5,00;7,00;8,00;6,00;6,00;6,00;6,00;6,00;6,00;7,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;
Municipios;1586;Valdemanco;2,00;2,00;1,00;1,00;2,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;5,00;5,00;5,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;6,00;
Municipios;1599;Valdemaqueda;2,00;2,00;2,00;2,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;10,00;8,00;8,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;
Municipios;1603;Valdemorillo;23,00;23,00;23,00;23,00;23,00;42,00;43,00;47,00;51,00;51,00;96,00;47,00;101,00;101,00;101,00;101,00;98,00;105,00;113,00;106,00;54,00;52,00;51,00;130,00;51,00;52,00;52,00;51,00;56,00;57,00;56,00;
Municipios;1610;Valdemoro;32,00;32,00;36,00;36,00;36,00;51,00;51,00;52,00;57,00;77,00;97,00;86,00;105,00;137,00;151,00;157,00;158,00;156,00;161,00;158,00;158,00;156,00;153,00;196,00;156,00;156,00;156,00;156,00;159,00;162,00;160,00;
Municipios;1625;Valdeolmos-Alalpardo;7,00;7,00;8,00;8,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;8,00;10,00;10,00;11,00;10,00;11,00;12,00;11,00;15,00;15,00;15,00;17,00;15,00;15,00;15,00;15,00;15,00;15,00;15,00;
Municipios;1631;Valdepiélagos;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1646;Valdetorres de Jarama;2,00;2,00;2,00;2,00;2,00;6,00;6,00;6,00;6,00;8,00;18,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;17,00;15,00;17,00;17,00;17,00;18,00;17,00;18,00;18,00;18,00;18,00;18,00;18,00;
Municipios;1659;Valdilecha;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,00;4,00;4,00;4,00;4,00;5,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1662;Valverde de Alcalá;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;3,00;3,00;3,00;2,00;2,00;2,00;
Municipios;1678;Velilla de San Antonio;11,00;11,00;11,00;13,00;13,00;14,00;18,00;18,00;18,00;19,00;19,00;14,00;16,00;19,00;16,00;17,00;17,00;17,00;18,00;18,00;18,00;18,00;18,00;23,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;
Municipios;1684;Vellón (El);7,00;7,00;5,00;5,00;7,00;9,00;9,00;10,00;10,00;9,00;9,00;9,00;11,00;11,00;11,00;10,00;12,00;14,00;14,00;14,00;16,00;16,00;14,00;16,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;
Municipios;1697;Venturada;5,00;5,00;5,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;8,00;8,00;10,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;
Municipios;1718;Villa del Prado;7,00;7,00;7,00;7,00;8,00;8,00;11,00;13,00;15,00;15,00;15,00;14,00;16,00;17,00;5,00;5,00;17,00;19,00;19,00;19,00;19,00;21,00;21,00;20,00;21,00;21,00;21,00;21,00;21,00;21,00;21,00;
Municipios;1701;Villaconejos;1,00;1,00;1,00;2,00;2,00;2,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;5,00;17,00;17,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;6,00;7,00;7,00;7,00;7,00;
Municipios;1723;Villalbilla;16,00;16,00;17,00;17,00;17,00;20,00;20,00;31,00;34,00;37,00;44,00;41,00;41,00;41,00;41,00;65,00;66,00;66,00;74,00;67,00;67,00;64,00;64,00;78,00;67,00;67,00;67,00;82,00;82,00;85,00;81,00;
Municipios;1739;Villamanrique de Tajo;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;5,00;5,00;3,00;3,00;3,00;3,00;3,00;3,00;4,00;3,00;3,00;3,00;3,00;3,00;3,00;4,00;
Municipios;1744;Villamanta;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;2,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;10,00;10,00;10,00;11,00;10,00;10,00;10,00;11,00;11,00;11,00;11,00;
Municipios;1757;Villamantilla;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;2,00;8,00;8,00;8,00;8,00;8,00;8,00;5,00;4,00;4,00;8,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;
Municipios;1782;Villanueva de Perales;8,00;8,00;8,00;7,00;7,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;12,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;
Municipios;1760;Villanueva de la Cañada;48,00;48,00;61,00;61,00;62,00;66,00;74,00;76,00;76,00;76,00;76,00;72,00;85,00;85,00;92,00;92,00;81,00;86,00;99,00;95,00;94,00;98,00;97,00;109,00;99,00;100,00;101,00;101,00;94,00;106,00;94,00;
Municipios;1776;Villanueva del Pardillo;10,00;10,00;9,00;8,00;8,00;7,00;14,00;12,00;12,00;18,00;20,00;19,00;21,00;21,00;21,00;20,00;20,00;20,00;21,00;21,00;22,00;24,00;25,00;27,00;25,00;25,00;25,00;25,00;25,00;29,00;29,00;
Municipios;1795;Villar del Olmo;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;
Municipios;1809;Villarejo de Salvanés;10,00;10,00;10,00;12,00;12,00;12,00;12,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;14,00;16,00;16,00;16,00;16,00;16,00;16,00;20,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;
Municipios;1816;Villaviciosa de Odón;57,00;57,00;61,00;67,00;68,00;72,00;68,00;68,00;69,00;83,00;84,00;82,00;97,00;97,00;97,00;100,00;101,00;101,00;102,00;103,00;99,00;94,00;94,00;105,00;94,00;94,00;94,00;94,00;93,00;92,00;94,00;
Municipios;1821;Villavieja del Lozoya;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,00;6,00;4,00;4,00;4,00;4,00;4,00;4,00;4,00;
Municipios;1837;Zarzalejo;1,00;1,00;1,00;1,00;1,00;1,00;3,00;3,00;3,00;3,00;3,00;3,00;7,00;8,00;10,00;10,00;10,00;14,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;16,00;14,00;14,00;14,00;
