Nombre,contratos_100,ocupadosColectivos_100,paro_total,pensionistas_100,pension_media,renta_bruta,bibliotecas_100_alumnos,centros_priv_100_alumnos_priv,centros_pub_100_alumnos_pub,extraescolares_10_alumnos,idiomas_10_alumnos,profesores_priv_100_alumnos_priv,profesores_pub_100_alumnos_pub,unidades_escolares_priv_100_alumnos_priv,unidades_escolares_publicas_por_100_alumnos,centrosSociales_10,centros_100,farmacias_100,bus_100,estacionbus_100,estaciontren_100,grupo,servicioCoches_100
Santos de la Humosa (Los),49.02,34.26,55.45,65.35,58.68,74.29,49.04,48.99,41.29,48.64,50.0,48.58,43.82,48.63,48.51,46.64,48.75,42.53,38.99,37.33,48.78,1.0,47.43
Serna del Monte (La),49.13,64.64,41.86,47.38,25.62,35.49,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,46.64,48.75,37.96,82.74,82.57,48.78,1.0,47.52
Serranillos del Valle,44.43,49.16,51.81,65.45,29.88,37.87,33.55,43.1,50.53,47.4,49.35,31.51,49.29,31.85,64.8,59.79,42.12,70.77,44.6,64.65,46.55,2.0,48.72
Sevilla la Nueva,47.51,46.04,60.31,69.86,58.61,45.79,45.74,44.1,49.54,47.4,49.35,53.62,49.58,56.28,40.65,53.93,42.12,68.61,46.7,40.2,46.55,2.0,48.11
Somosierra,49.32,78.9,46.98,45.32,21.99,35.76,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,100.0,48.75,37.96,75.27,65.04,48.78,1.0,47.46
Soto del Real,42.11,50.94,74.5,38.46,53.23,49.71,41.97,44.79,43.05,47.4,49.35,49.12,39.81,49.27,30.88,48.75,59.87,52.79,49.35,46.39,46.55,2.0,48.01
Talamanca de Jarama,48.11,44.47,57.8,64.37,26.69,36.95,68.62,87.79,49.0,47.4,49.35,85.32,43.06,90.26,45.5,53.18,42.12,75.03,50.51,39.68,46.55,2.0,47.93
Tielmes,49.17,40.88,38.0,47.57,58.91,68.7,51.76,48.99,42.83,48.64,50.0,48.58,44.11,48.63,50.39,49.12,48.75,42.58,39.57,39.59,48.78,1.0,47.44
Titulcia,49.26,40.14,37.66,41.3,57.38,53.55,49.04,48.99,43.01,48.64,50.0,48.58,49.64,48.63,52.72,46.64,48.75,47.26,40.73,37.8,48.78,1.0,47.44
Torrejón de Ardoz,38.9,38.11,29.11,48.7,67.3,51.87,49.03,56.31,27.63,43.77,95.0,31.37,37.62,51.86,35.4,38.43,62.88,24.51,18.16,22.57,52.54,3.0,46.45
Torrejón de Velasco,43.06,46.33,64.45,48.94,34.32,37.76,55.19,43.92,81.39,47.4,49.35,48.43,68.22,50.39,82.92,41.57,42.12,68.88,44.32,42.6,46.55,2.0,48.12
Torrejón de la Calzada,47.99,52.33,60.85,65.56,60.26,46.5,42.66,43.85,41.62,47.4,49.35,49.21,34.88,48.53,37.06,44.87,42.12,64.24,43.65,35.61,46.55,2.0,48.04
Torrelaguna,45.14,49.2,50.31,31.92,32.02,37.61,56.74,43.1,57.45,47.4,49.35,31.51,60.18,31.85,55.78,48.38,75.83,34.19,71.91,35.03,46.55,2.0,60.4
Torrelodones,50.38,51.97,86.43,57.84,72.53,100.0,41.1,44.35,38.36,68.45,49.35,49.7,39.98,50.96,28.2,52.98,48.76,52.68,55.75,73.77,54.69,2.0,47.97
Torremocha de Jarama,49.06,58.32,60.2,60.45,56.04,52.05,100.0,48.99,87.78,48.64,50.0,48.58,75.77,48.63,76.29,56.55,48.75,49.03,42.53,44.62,48.78,1.0,49.06
Torres de la Alameda,48.2,56.68,33.04,38.38,52.5,41.1,49.43,43.1,45.73,47.4,49.35,31.51,43.77,31.85,38.79,52.46,63.68,43.15,49.53,50.75,46.55,2.0,48.22
Tres Cantos,100.0,85.58,89.69,65.92,0.0,22.52,56.5,64.77,88.46,41.69,48.2,76.15,63.1,68.21,73.37,57.99,53.6,34.06,75.68,80.63,67.05,3.0,46.7
Valdaracete,49.1,40.15,28.18,19.23,54.79,43.27,49.04,48.99,42.34,48.64,50.0,48.58,51.93,48.63,57.13,46.64,48.75,37.96,43.38,51.59,48.78,1.0,47.42
Valdeavero,49.05,38.57,52.09,60.35,57.81,59.53,49.04,48.99,42.34,48.64,50.0,48.58,51.08,48.63,55.47,46.64,48.75,45.07,41.06,37.38,48.78,1.0,47.47
Valdelaguna,49.02,34.75,47.3,41.88,56.98,48.7,49.04,48.99,57.24,48.64,50.0,48.58,54.56,48.63,64.44,48.81,48.75,50.08,41.42,43.08,48.78,1.0,47.42
Valdemanco,49.03,35.32,59.44,45.93,56.67,50.89,49.04,48.99,55.57,48.64,50.0,48.58,60.34,48.63,61.21,46.64,48.75,49.84,42.83,42.94,48.78,1.0,47.42
Valdemaqueda,49.07,40.9,40.26,42.18,55.75,44.58,49.04,48.99,75.56,48.64,50.0,48.58,81.82,48.63,64.44,46.64,48.75,53.4,44.16,51.05,48.78,1.0,47.4
Valdemorillo,42.16,46.29,54.45,52.01,64.34,56.3,44.91,45.67,37.5,47.4,49.35,65.34,21.58,60.23,15.7,42.81,42.12,37.0,48.14,64.59,46.55,2.0,48.27
Valdemoro,57.04,47.21,38.79,90.05,52.15,21.3,49.19,33.76,47.63,77.32,40.04,41.16,36.66,48.0,28.95,35.89,25.37,20.01,41.77,49.32,45.93,3.0,45.51
Valdeolmos-Alalpardo,49.35,48.43,83.27,67.83,18.21,39.22,33.55,43.92,72.08,47.4,49.35,56.36,51.94,50.46,71.49,45.3,42.12,37.21,44.82,55.95,46.55,2.0,47.93
Valdepiélagos,49.08,41.2,59.11,55.24,54.01,42.92,49.04,48.99,75.56,48.64,50.0,48.58,81.82,48.63,64.44,46.64,48.75,58.28,43.45,37.97,48.78,1.0,47.52
Valdetorres de Jarama,43.45,45.38,36.72,37.77,36.3,38.29,33.55,43.1,47.61,47.4,49.35,31.51,78.34,31.85,62.24,55.08,42.12,97.57,48.49,59.15,46.55,2.0,48.03
Valdilecha,47.55,46.16,24.38,45.64,14.02,34.41,73.63,43.1,52.4,47.4,49.35,31.51,57.02,31.85,52.88,41.57,42.12,51.87,41.85,33.26,46.55,2.0,47.88
Valverde de Alcalá,49.69,37.32,56.89,57.14,53.32,42.78,49.04,48.99,38.91,48.64,50.0,48.58,27.3,48.63,28.88,50.88,48.75,61.62,44.28,40.61,48.78,1.0,47.54
Velilla de San Antonio,61.06,48.58,46.41,66.22,65.38,52.42,44.77,70.33,35.61,47.4,49.35,64.27,28.65,76.3,24.53,44.09,42.12,49.59,44.97,35.92,46.55,2.0,48.11
Vellón (El),49.01,35.69,52.6,55.63,58.5,65.31,49.04,48.99,43.01,48.64,50.0,48.58,49.64,48.63,52.72,48.7,48.75,43.72,41.99,43.85,48.78,1.0,47.44
Venturada,49.23,49.85,60.67,72.22,58.16,100.0,49.04,48.99,41.15,48.64,50.0,48.58,51.68,48.63,48.39,47.53,48.75,42.92,43.33,39.86,48.78,1.0,64.88
Villa del Prado,47.29,45.6,31.16,33.06,53.7,39.49,53.42,43.1,41.51,47.4,49.35,31.51,36.07,31.85,42.93,48.53,65.06,45.77,44.14,51.23,46.55,2.0,47.63
Villaconejos,46.03,45.28,28.94,15.42,25.87,34.57,99.07,43.1,55.29,47.4,49.35,31.51,63.3,31.85,83.47,46.39,42.12,47.49,54.4,41.48,46.55,2.0,48.14
Villalbilla,44.14,44.34,72.56,77.5,68.1,65.18,47.74,45.79,41.47,47.4,49.35,51.9,25.34,52.82,25.62,47.58,42.12,30.42,45.59,72.43,46.55,2.0,48.17
Villamanrique de Tajo,49.42,41.59,23.96,46.94,55.91,44.02,49.04,48.99,79.64,48.64,50.0,48.58,87.88,48.63,68.39,46.64,48.75,53.78,42.34,42.16,48.78,1.0,48.5
Villamanta,49.05,39.45,45.23,52.64,58.86,70.72,49.04,48.99,42.17,48.64,50.0,48.58,45.88,48.63,47.85,49.91,48.75,42.53,40.69,40.89,48.78,1.0,47.41
Villamantilla,49.04,36.7,51.35,71.49,57.5,59.81,49.04,48.99,41.6,48.64,50.0,48.58,51.93,48.63,52.33,49.52,48.75,45.99,39.42,39.91,48.78,1.0,47.41
Villanueva de Perales,49.15,38.04,50.08,58.28,57.99,58.57,49.04,48.99,43.87,48.64,50.0,48.58,54.31,48.63,57.71,46.64,48.75,45.54,40.3,41.9,48.78,1.0,49.66
Villanueva de la Calzada,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
Villanueva de la Cañada,48.17,53.44,81.52,77.04,72.48,84.82,35.76,43.98,37.96,47.4,100.0,47.36,38.92,44.46,31.32,48.72,49.19,42.49,47.33,63.29,46.55,2.0,47.85
Villanueva del Pardillo,44.49,47.08,73.88,87.06,70.15,66.03,39.39,44.35,42.03,47.4,49.35,51.48,44.32,52.64,44.71,48.23,42.12,55.84,48.93,37.46,46.55,2.0,47.75
Villar del Olmo,49.03,35.96,53.21,48.27,58.21,73.8,49.04,48.99,100.0,48.64,50.0,48.58,72.74,48.63,58.51,47.64,48.75,43.57,40.51,36.54,48.78,1.0,47.48
Villarejo de Salvanés,50.17,50.82,17.1,16.46,55.93,40.42,43.86,44.17,46.21,81.89,49.35,48.4,38.47,49.48,33.4,43.75,63.65,43.1,55.47,46.45,46.55,2.0,47.91
Villaviciosa de Odón,52.51,54.93,83.73,17.06,75.6,99.63,37.42,44.35,46.99,47.4,49.35,52.27,54.31,47.04,48.68,48.02,47.92,51.81,42.64,55.43,46.55,2.0,48.09
Villavieja del Lozoya,49.07,41.08,52.57,47.7,49.5,40.15,49.04,48.99,60.47,48.64,50.0,48.58,70.06,48.63,70.72,53.86,48.75,78.27,63.36,51.72,48.78,1.0,47.41
Zarzalejo,49.05,42.96,40.5,52.07,58.1,58.73,49.04,48.99,41.32,48.64,50.0,48.58,51.13,48.63,53.36,49.15,48.75,44.96,42.75,45.54,91.71,1.0,47.43
