Nombre,grupo,educacion,salud,transporte,economia,housing,total
Serna del Monte (La),1.0,"[26.72, 44.68555555555555]","[38.36, 44.21714285714285]","[47.52, 65.89200000000001]","[24.27, 48.721999999999994]","[25.840000000000003, 36.138]","[0.36138, 0.5770031433154892]"
Serranillos del Valle,2.0,"[33.08, 44.81111111111111]","[26.18, 62.044285714285714]","[41.11, 49.126]","[29.5, 39.58]","[35.03, 50.419999999999995]","[0.3958, 0.5760463879724637]"
Sevilla la Nueva,2.0,"[41.13, 49.97888888888888]","[35.89, 54.77428571428572]","[40.2, 46.092]","[32.16, 44.442]","[37.53, 41.27]","[0.4178394249265972, 0.5530640688945283]"
Somosierra,1.0,"[26.72, 44.68555555555555]","[38.36, 64.50714285714285]","[47.46, 64.386]","[23.19, 45.342]","[21.67, 37.792]","[0.37792000000000003, 0.6361428215136312]"
Soto del Real,2.0,"[33.22, 43.620000000000005]","[35.89, 53.74857142857143]","[46.39, 48.142]","[29.340000000000003, 47.332]","[48.66, 55.886]","[0.47332, 0.5757584312904369]"
Talamanca de Jarama,2.0,"[46.65, 62.236666666666665]","[26.18, 50.28285714285715]","[39.68, 47.748000000000005]","[28.97, 38.583999999999996]","[36.62, 45.751999999999995]","[0.38583999999999996, 0.5725676997517245]"
Tielmes,1.0,"[45.86, 48.70666666666668]","[40.63, 47.84857142857144]","[17.819999999999993, 38.64]","[46.67, 57.19599999999999]","[26.17, 45.624]","[0.4159311087190527, 0.5770109558076313]"
Titulcia,1.0,"[46.57, 48.79222222222223]","[42.67, 49.19571428571429]","[10.819999999999993, 37.114]","[43.51, 56.38199999999999]","[34.09, 46.632]","[0.3995048439181916, 0.578718208133464]"
Torrejón de Ardoz,3.0,"[23.66, 46.40777777777778]","[22.22, 37.01428571428572]","[18.16, 37.245999999999995]","[37.15, 52.818000000000005]","[33.39, 41.858]","[0.3701428571428572, 0.45549797053378277]"
Torrejón de Velasco,2.0,"[44.26, 58.20222222222222]","[25.62, 54.19285714285714]","[34.41, 43.2]","[35.25, 42.408]","[36.04, 47.662]","[0.42408, 0.5727834802954453]"
Torrejón de la Calzada,2.0,"[40.73, 45.22]","[42.13, 52.24714285714286]","[32.47, 41.263999999999996]","[34.980000000000004, 46.706]","[42.71, 52.40599999999999]","[0.46706000000000003, 0.5497246510217755]"
Torrelaguna,2.0,"[33.08, 48.22666666666667]","[22.69, 52.924285714285716]","[35.03, 56.352]","[32.38, 49.315999999999995]","[37.66, 43.47]","[0.44011339475549255, 0.5846696627136577]"
Torrelodones,2.0,"[32.59, 46.63666666666667]","[35.89, 57.94714285714286]","[35.22, 53.48]","[12.989999999999995, 46.178]","[68.42, 86.244]","[0.46177999999999997, 0.6667827763576761]"
Torremocha de Jarama,1.0,"[48.58, 61.40222222222222]","[42.59, 48.682857142857145]","[42.53, 46.006]","[36.03, 48.81999999999999]","[27.73, 46.068]","[0.46068, 0.6143612716431052]"
Torres de la Alameda,2.0,"[33.08, 43.91444444444445]","[35.89, 54.618571428571435]","[42.59, 47.528000000000006]","[49.38, 57.66600000000001]","[29.92, 38.498]","[0.38977422294218894, 0.5625964554792681]"
Tres Cantos,3.0,"[40.48, 61.26222222222222]","[40.81, 62.80571428571428]","[46.7, 64.06800000000001]","[0.0, 44.791999999999994]","[19.3, 44.834]","[0.44791999999999993, 0.5852055609856015]"
Valdaracete,1.0,"[46.3, 49.71666666666667]","[38.36, 45.457142857142856]","[36.99, 45.632]","[44.15, 62.568]","[21.67, 38.39000000000001]","[0.3839000000000001, 0.5833369109667156]"
Valdeavero,1.0,"[46.42, 49.628888888888895]","[41.09, 45.53285714285715]","[21.33, 39.20399999999999]","[37.85, 48.908]","[44.89, 52.322]","[0.4220021528525295, 0.5700484728151849]"
Valdelaguna,1.0,"[48.58, 50.03555555555556]","[43.76, 47.44]","[25.310000000000002, 41.202]","[38.59, 53.452]","[30.88, 38.76]","[0.3876, 0.5636117743560278]"
Valdemanco,1.0,"[48.58, 55.37666666666667]","[41.83, 46.347142857142856]","[42.83, 45.565999999999995]","[31.310000000000002, 47.212]","[52.02, 59.855999999999995]","[0.47212000000000004, 0.613750156189896]"
Valdemaqueda,1.0,"[48.58, 59.31333333333334]","[44.3, 47.48285714285714]","[44.16, 51.698]","[43.39, 59.644000000000005]","[43.69, 52.262]","[0.52262, 0.6510566166782139]"
Valdemorillo,2.0,"[16.9, 43.25999999999999]","[30.11, 43.354285714285716]","[46.55, 52.628]","[38.68, 48.652]","[54.14, 65.132]","[0.48652, 0.580909892306084]"
Valdemoro,3.0,"[34.09, 46.68555555555557]","[17.16, 40.82142857142857]","[41.77, 48.274]","[11.599999999999994, 44.158]","[32.44, 45.434000000000005]","[0.4082142857142857, 0.4786840839814549]"
Valdeolmos-Alalpardo,2.0,"[34.09, 55.077777777777776]","[37.0, 49.17714285714286]","[42.66, 47.582]","[17.870000000000005, 33.078]","[35.51, 55.748000000000005]","[0.33078, 0.561279389033934]"
Valdepiélagos,1.0,"[48.58, 57.22333333333333]","[44.3, 48.09571428571429]","[26.430000000000007, 40.83]","[41.06, 47.402]","[37.47, 54.674]","[0.43950484391819156, 0.6042837715964477]"
Valdetorres de Jarama,2.0,"[33.08, 45.48222222222223]","[22.69, 53.65714285714285]","[46.55, 50.025999999999996]","[35.83, 50.638]","[37.75, 46.576]","[0.4715601903411967, 0.5726127080359312]"
Valdilecha,2.0,"[33.08, 51.07888888888889]","[22.69, 42.52]","[33.26, 44.339999999999996]","[14.49, 46.748000000000005]","[31.95, 40.108]","[0.4060747190442442, 0.5217597848925998]"
Valverde de Alcalá,1.0,"[26.72, 44.68555555555555]","[44.3, 48.847142857142856]","[13.790000000000006, 39.0]","[38.32, 45.032000000000004]","[35.69, 54.798]","[0.41980624327233584, 0.5640713456137745]"
Velilla de San Antonio,2.0,"[33.82, 49.19333333333333]","[35.89, 45.39714285714287]","[25.689999999999998, 40.248000000000005]","[32.900000000000006, 53.346000000000004]","[28.46, 37.316]","[0.3778070264250279, 0.5216758758639355]"
Vellón (El),1.0,"[46.62, 49.156666666666666]","[38.64, 45.364285714285714]","[22.03, 40.818]","[39.19, 50.564]","[35.8, 51.693999999999996]","[0.4393756727664154, 0.5737434060216215]"
Venturada,1.0,"[45.92, 48.88666666666667]","[41.7, 48.925714285714285]","[28.069999999999993, 44.984]","[26.010000000000005, 45.68]","[50.99, 76.79400000000001]","[0.4568, 0.6339628662531082]"
Villa del Prado,2.0,"[33.08, 41.861111111111114]","[35.89, 50.027142857142856]","[44.14, 52.907999999999994]","[41.82, 52.448]","[35.879999999999995, 43.977999999999994]","[0.4452566568796193, 0.5602834888374829]"
Villaconejos,2.0,"[33.08, 54.55444444444444]","[25.62, 49.34142857142857]","[41.48, 50.64399999999999]","[26.11, 54.694]","[30.48, 40.872]","[0.41380986129391517, 0.5814349422564918]"
Villalbilla,2.0,"[26.45, 43.44555555555556]","[22.69, 41.93000000000001]","[45.42, 51.632000000000005]","[20.239999999999995, 39.462]","[40.14, 51.754000000000005]","[0.39462, 0.5296392930200314]"
Villamanrique de Tajo,1.0,"[48.58, 57.22333333333333]","[44.3, 47.32]","[42.16, 45.256]","[44.62, 56.384]","[29.03, 43.744]","[0.43744, 0.60739937837944]"
Villamanta,1.0,"[46.28, 48.24999999999999]","[40.22, 58.18000000000001]","[20.39, 39.63199999999999]","[43.7, 53.258]","[39.87, 49.186]","[0.4266092572658772, 0.610670056361801]"
Villamantilla,1.0,"[46.07, 49.12555555555556]","[42.09, 46.24142857142858]","[29.819999999999993, 41.068]","[25.909999999999997, 46.9]","[46.5, 58.379999999999995]","[0.4420667384284176, 0.5830867272717011]"
Villanueva de Perales,1.0,"[46.88, 49.39]","[41.31, 51.73285714285714]","[24.659999999999997, 41.06]","[40.88, 49.763999999999996]","[41.26, 54.694]","[0.44198062432723356, 0.5999649850525633]"
Villanueva de la Cañada,2.0,"[36.03, 48.29333333333333]","[43.13, 57.70428571428571]","[46.55, 50.855999999999995]","[17.400000000000006, 42.593999999999994]","[67.02, 85.126]","[0.42593999999999993, 0.6539565131365644]"
Villanueva del Pardillo,2.0,"[38.86, 45.34444444444445]","[42.13, 50.77714285714286]","[33.67, 42.872]","[12.480000000000004, 38.812]","[42.58, 55.18399999999999]","[0.38811999999999997, 0.5401969381003362]"
Villar del Olmo,1.0,"[48.58, 65.29222222222222]","[41.1, 45.50000000000001]","[22.819999999999993, 39.22599999999999]","[40.93, 50.248]","[47.55, 66.95400000000001]","[0.4222389666307857, 0.644682497960696]"
Villarejo de Salvanés,2.0,"[34.84, 48.92555555555556]","[30.98, 44.65428571428572]","[46.45, 50.75]","[50.19, 64.97999999999999]","[27.93, 40.178]","[0.40678343626607266, 0.5752016209735971]"
Villaviciosa de Odón,2.0,"[37.37, 46.29222222222222]","[35.89, 56.612857142857145]","[30.760000000000005, 44.694]","[15.409999999999997, 55.472]","[73.72, 81.53999999999999]","[0.55472, 0.6489525722496788]"
Villavieja del Lozoya,1.0,"[48.58, 52.00555555555556]","[44.3, 52.25428571428571]","[47.41, 55.59000000000001]","[20.459999999999994, 42.45399999999999]","[14.3, 37.842]","[0.37842, 0.5917523085980401]"
Zarzalejo,1.0,"[46.02, 49.37444444444444]","[43.42, 49.59714285714285]","[42.75, 54.662]","[46.12, 56.538]","[31.78, 53.525999999999996]","[0.53526, 0.6334879925146792]"
