Nombre,contratos_100,ocupadosColectivos_100,paro_total,pensionistas_100,pension_media,bibliotecas_100_alumnos,centros_priv_100_alumnos_priv,centros_pub_100_alumnos_pub,extraescolares_10_alumnos,idiomas_10_alumnos,profesores_priv_100_alumnos_priv,profesores_pub_100_alumnos_pub,unidades_escolares_priv_100_alumnos_priv,unidades_escolares_publicas_por_100_alumnos,centrosSociales_10,centros_100,clinicaDental_10,consultaPrimaria_100,farmacias_100,orgNoSanitaria_total_100,otroConsulta_100,bus_100,distanciaCentro,estacionbus_100,estaciontren_100,servicioCoches_100,Banos,Familiares,Habitaciones,grupo,Precio,superficieFamiliares
Olmeda de las Fuentes,49.12,41.52,64.67,73.17,50.4,49.07,48.96,60.3,48.7,50.0,48.68,68.22,48.58,67.43,46.53,48.76,44.3,52.36,68.58,46.8,46.13,50.11,70.88,48.27,48.78,47.48,51.56,35.78,40.94,1.0,56.36,87.62
Orusco de Tajuña,49.09,41.24,31.32,47.92,59.43,49.07,48.96,46.05,48.7,50.0,48.68,48.79,48.58,53.86,48.21,48.76,44.3,42.34,46.52,50.14,46.13,41.75,65.17,39.48,48.78,47.38,61.96,58.72,49.07,1.0,62.71,46.19
Paracuellos de Jarama,43.5,48.41,79.65,90.57,73.77,37.49,43.95,43.02,66.97,49.35,47.84,36.62,48.76,45.08,46.1,48.34,44.85,40.11,37.23,39.63,40.62,44.02,70.84,61.02,46.55,47.78,57.78,71.92,51.82,2.0,37.63,59.48
Parla,5.38,20.07,10.04,67.41,69.14,19.74,40.82,17.09,41.77,40.25,35.81,42.41,49.67,48.21,48.75,36.02,34.19,42.22,0.0,30.69,21.32,6.04,51.53,19.21,31.84,44.55,36.71,55.75,34.99,3.0,59.35,34.37
Patones,49.26,53.77,65.98,42.94,54.07,49.07,48.96,46.76,48.7,50.0,48.68,51.42,48.58,61.29,54.97,48.76,44.3,47.94,58.84,56.59,46.13,46.73,53.25,57.8,48.78,77.23,67.6,38.97,40.51,1.0,42.8,61.14
Pedrezuela,40.26,42.87,48.1,73.98,41.82,67.34,43.45,66.11,47.37,49.35,37.11,48.06,33.08,58.46,54.93,42.13,36.03,62.54,26.31,84.64,41.39,67.06,47.93,55.56,46.55,47.82,34.48,42.12,36.25,2.0,59.08,35.39
Pelayos de la Presa,41.79,46.14,0.01,41.88,11.01,34.09,43.45,69.54,47.37,49.35,37.11,68.67,33.08,65.46,52.62,42.13,22.69,100.0,53.64,100.0,41.86,42.36,19.56,41.6,46.55,47.74,29.75,39.13,44.04,2.0,64.6,29.41
Perales de Tajuña,39.89,43.95,1.3,26.88,15.24,34.09,43.45,94.38,47.37,49.35,37.11,69.8,33.08,78.12,41.71,94.86,49.58,35.89,52.46,25.62,26.18,100.0,54.04,54.1,46.55,47.84,23.93,35.32,36.25,2.0,67.62,32.92
Pezuela de las Torres,49.1,41.31,56.49,50.42,57.7,49.07,48.96,51.01,48.7,50.0,48.68,53.01,48.58,58.58,49.1,48.76,44.3,44.3,50.83,46.8,46.13,41.63,73.47,41.05,48.78,47.46,31.2,49.33,41.79,1.0,63.3,61.27
Pinilla del Valle,49.17,39.15,63.65,36.77,37.37,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,77.83,100.0,46.8,46.13,53.78,17.38,54.15,48.78,47.45,0.0,36.09,35.8,1.0,48.54,59.17
Pinto,56.92,46.14,39.59,65.17,26.39,40.31,23.33,42.09,100.0,40.25,0.0,24.9,0.0,31.77,54.18,48.02,49.04,42.22,42.06,49.85,72.33,59.42,51.8,35.87,63.15,46.14,37.9,23.06,32.32,3.0,57.57,38.01
Piñuécar-Gandullas,49.09,47.66,66.46,30.99,39.26,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,87.06,38.36,46.8,46.13,100.0,29.08,77.6,48.78,47.43,65.0,34.47,67.9,1.0,43.88,55.14
Pozuelo de Alarcón,81.22,97.41,94.42,46.49,41.18,55.43,38.13,97.39,41.77,67.08,84.96,88.59,60.41,75.29,100.0,43.76,46.09,42.22,62.96,100.0,56.29,91.72,63.01,100.0,42.91,47.51,100.0,36.8,100.0,3.0,0.0,98.22
Pozuelo del Rey,49.11,37.98,43.19,69.48,58.65,49.07,48.96,53.62,48.7,50.0,48.68,60.27,48.58,72.52,46.53,48.76,44.3,42.97,47.9,46.8,46.13,40.93,87.67,40.91,48.78,47.46,50.26,46.58,32.38,1.0,53.77,48.04
Prádena del Rincón,49.23,61.93,96.96,43.96,35.89,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,62.81,38.36,46.8,46.13,80.18,25.75,52.45,48.78,47.35,86.66,32.93,35.8,1.0,64.34,52.68
Puebla de la Sierra,49.25,53.1,73.72,69.78,14.89,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,86.8,38.36,46.8,46.13,54.24,0.0,48.46,48.78,47.33,72.36,31.68,42.86,1.0,35.7,13.0
Puentes Viejas,49.08,45.6,61.97,75.92,57.04,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,54.53,54.27,51.14,46.13,46.67,40.14,57.11,48.78,47.44,60.23,52.96,50.35,1.0,52.17,47.77
Quijorna,37.37,42.15,62.45,70.16,19.24,34.09,82.33,83.4,47.37,49.35,67.77,88.77,79.09,81.6,50.26,42.13,44.25,78.96,42.17,57.42,50.76,40.59,47.74,42.25,46.55,47.95,60.33,34.5,49.88,2.0,52.19,57.8
Rascafría,49.17,49.67,60.81,28.7,59.31,54.69,48.96,47.36,48.7,50.0,48.68,52.59,48.58,60.88,46.53,100.0,92.17,40.61,45.58,47.29,46.13,42.04,11.62,44.52,48.78,47.43,57.63,80.32,64.26,1.0,26.76,52.96
Redueña,49.1,66.51,88.57,64.78,44.38,49.07,48.96,60.3,48.7,50.0,48.68,78.81,48.58,67.43,46.53,48.76,44.3,54.19,81.17,46.8,46.13,53.88,67.14,40.05,48.78,50.06,43.33,32.62,57.2,1.0,43.76,58.31
Ribatejada,49.24,43.77,43.42,58.59,56.61,49.07,48.96,50.03,48.7,50.0,48.68,52.04,48.58,60.03,52.17,48.76,44.3,43.61,52.06,51.48,46.13,43.58,73.24,59.0,48.78,47.43,57.63,46.48,54.42,1.0,34.56,50.71
Rivas-Vaciamadrid,26.81,34.37,58.14,81.09,51.33,65.83,56.96,27.41,41.77,40.25,49.02,13.93,61.79,31.41,54.56,35.54,47.14,87.19,14.96,36.45,57.68,39.51,66.65,53.23,9.63,46.23,57.41,41.44,63.23,3.0,49.29,66.95
Robledillo de la Jara,49.1,48.5,26.32,67.29,21.11,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,85.31,48.76,44.3,72.83,38.36,78.95,46.13,73.22,34.62,100.0,48.78,47.36,86.66,32.15,85.66,1.0,45.35,46.0
Robledo de Chavela,43.76,46.65,32.25,38.43,32.16,79.54,43.45,70.32,47.37,49.35,37.11,92.12,33.08,73.75,56.19,77.92,59.2,35.89,71.01,88.45,57.4,64.04,16.32,96.61,89.99,100.0,54.14,43.3,65.93,2.0,56.62,53.4
Robregordo,49.13,89.38,26.59,34.82,16.92,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,100.0,38.36,46.8,46.13,78.07,19.89,98.5,48.78,47.28,21.67,31.43,60.84,1.0,73.26,64.24
Rozas de Madrid (Las),53.34,65.19,86.88,66.95,45.29,47.51,43.51,62.38,41.77,40.25,78.77,81.56,55.63,95.8,41.02,17.41,0.0,42.22,63.02,0.94,0.0,93.86,59.07,68.54,100.0,46.92,74.92,40.71,75.49,3.0,34.61,78.05
Rozas de Puerto Real,49.27,85.86,19.25,40.47,55.49,49.07,76.34,49.85,48.7,50.0,100.0,51.49,85.33,65.29,50.91,48.76,44.3,50.22,59.62,54.06,98.57,41.14,16.13,53.08,48.78,100.0,52.0,48.14,52.92,1.0,68.74,34.77
San Agustín del Guadalix,54.66,54.88,68.56,60.76,63.7,45.15,63.86,33.4,47.37,49.35,55.88,37.57,63.25,31.13,44.19,42.13,54.03,54.67,24.76,54.89,90.5,48.14,58.41,30.76,46.55,47.97,43.95,50.74,41.12,2.0,43.32,50.58
San Fernando de Henares,86.66,71.82,46.65,8.87,77.99,37.76,74.56,38.03,59.62,49.35,61.64,37.09,69.88,32.08,45.22,50.81,58.09,35.89,47.53,47.38,55.2,47.64,77.71,46.0,46.55,48.02,25.75,100.0,29.92,2.0,58.25,1.23
San Lorenzo de El Escorial,51.92,50.42,65.07,24.11,70.21,39.48,45.5,51.05,47.37,49.35,49.4,99.53,51.97,59.71,49.92,51.16,59.52,35.89,53.87,60.7,73.43,52.09,29.67,53.38,46.55,47.7,53.41,73.4,43.55,2.0,39.91,33.66
San Martín de Valdeiglesias,46.79,47.44,14.46,25.49,60.31,46.47,43.45,47.88,47.37,49.35,37.11,41.92,33.08,40.18,54.78,60.59,79.19,35.89,55.08,83.5,47.66,37.18,12.14,31.69,46.55,47.66,41.04,54.22,42.09,2.0,54.01,25.82
San Martín de la Vega,46.9,49.68,32.1,63.84,73.53,40.07,45.94,43.1,47.37,49.35,52.19,39.86,50.78,33.71,44.18,50.29,51.81,35.89,48.73,37.89,47.53,44.85,64.63,44.93,46.55,48.09,28.66,62.68,34.3,2.0,65.05,43.1
San Sebastián de los Reyes,77.25,58.41,65.33,51.67,52.94,51.77,50.23,45.98,41.77,49.95,22.57,39.06,18.69,66.51,74.57,39.84,54.73,42.22,35.63,54.51,46.09,69.95,58.46,43.88,9.63,46.09,36.31,41.5,24.33,3.0,53.38,42.49
Santa María de la Alameda,49.09,42.23,16.22,57.57,58.95,49.07,48.96,64.66,48.7,50.0,48.68,63.68,48.58,79.06,46.53,48.76,44.3,51.19,46.49,46.8,46.13,41.52,47.3,53.08,100.0,47.47,33.37,87.39,45.0,1.0,53.23,30.22
Santorcaz,49.12,37.1,38.86,45.63,57.72,49.07,48.96,45.79,48.7,50.0,48.68,49.6,48.58,59.11,49.07,48.76,44.3,44.24,50.7,46.8,46.13,40.09,81.72,39.92,48.78,47.51,52.86,45.76,42.86,1.0,50.89,56.32
Santos de la Humosa (Los),49.06,39.13,56.36,66.51,60.26,49.07,48.96,46.0,48.7,50.0,48.68,45.53,48.58,47.44,46.53,48.76,44.3,38.64,42.79,46.8,46.13,38.99,80.64,37.33,48.78,47.43,53.73,66.01,42.65,1.0,55.32,51.19
Serna del Monte (La),49.19,51.67,41.35,40.17,24.27,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,38.64,38.36,46.8,46.13,82.74,32.15,82.57,48.78,47.52,34.67,30.4,48.64,1.0,74.16,41.14
Serranillos del Valle,42.0,48.71,59.57,62.74,29.5,34.09,43.45,51.98,47.37,49.35,37.11,41.01,33.08,65.86,60.16,42.13,59.91,79.28,72.39,94.26,26.18,44.6,58.89,64.65,46.55,48.72,49.04,35.03,42.09,2.0,58.58,84.52
Sevilla la Nueva,47.89,46.81,62.67,67.84,58.02,46.04,45.44,50.25,47.37,49.35,68.99,43.08,58.16,41.13,54.11,42.13,58.42,35.89,69.5,71.73,51.64,46.7,51.1,40.2,46.55,48.11,38.85,44.71,39.17,2.0,53.91,37.53
Somosierra,49.35,66.88,60.91,51.8,23.19,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,100.0,48.76,44.3,74.0,38.36,100.0,46.13,75.27,14.62,65.04,48.78,47.46,21.67,29.65,35.8,1.0,71.28,73.12
Soto del Real,40.49,50.95,70.66,36.74,52.62,42.1,45.07,42.95,47.37,49.35,48.42,33.94,50.16,33.22,48.95,60.04,40.96,35.89,53.45,79.52,57.43,49.35,49.59,46.39,46.55,48.01,54.5,49.15,48.66,2.0,37.89,65.01
Talamanca de Jarama,47.2,43.53,60.26,66.52,28.97,65.05,91.29,46.68,47.37,49.35,74.85,49.19,89.7,46.65,53.03,42.13,41.72,61.24,73.99,53.69,26.18,50.51,45.93,39.68,46.55,47.93,54.14,36.62,57.9,2.0,59.8,39.9
Tielmes,49.21,46.67,24.49,45.92,60.51,51.5,48.96,46.54,48.7,50.0,48.68,45.86,48.58,49.54,49.24,48.76,58.84,40.63,42.75,48.59,46.13,39.57,82.18,39.59,48.78,47.44,41.6,73.49,51.64,1.0,64.78,26.17
Titulcia,49.25,43.51,28.47,41.25,58.87,49.07,48.96,46.57,48.7,50.0,48.68,47.15,48.58,51.42,46.53,48.76,44.3,42.67,47.25,46.8,68.06,40.73,89.18,37.8,48.78,47.44,53.3,48.17,34.09,1.0,56.52,54.12
Torrejón de Ardoz,41.23,37.15,32.58,49.56,67.85,48.45,54.27,25.68,43.8,93.67,23.66,40.86,48.17,39.11,33.54,61.81,42.54,42.22,22.22,24.25,32.52,18.16,53.49,22.57,52.54,46.45,38.7,59.87,33.39,3.0,58.21,35.54
Torrejón de Velasco,40.07,46.22,63.4,46.1,35.25,54.94,44.26,83.83,47.37,49.35,48.51,62.89,49.87,82.8,41.71,42.13,57.94,76.98,68.59,25.62,66.38,44.32,65.59,42.6,46.55,48.12,48.68,36.04,46.23,2.0,57.89,65.25
Torrejón de la Calzada,46.29,52.19,59.61,65.02,59.68,43.07,44.26,42.45,47.37,49.35,49.0,40.73,48.76,41.99,45.0,42.13,55.93,55.26,64.71,48.09,54.61,43.65,67.53,35.61,46.55,48.04,58.14,42.71,48.66,2.0,53.75,66.27
Torrelaguna,42.44,49.94,49.42,28.76,32.38,57.02,43.45,58.34,47.37,49.35,37.11,56.22,33.08,52.1,48.56,76.01,22.69,35.89,33.92,68.1,85.3,71.91,32.13,35.03,46.55,60.4,42.49,40.03,57.66,2.0,60.49,37.66
Torrelodones,52.22,51.88,87.01,57.73,71.53,41.45,44.7,39.27,69.73,49.35,49.6,43.08,49.96,32.59,51.17,48.81,49.94,35.89,53.16,66.66,100.0,55.75,64.78,73.77,54.69,47.97,89.08,68.42,73.72,2.0,0.0,100.0
Torremocha de Jarama,49.16,62.45,63.97,60.86,57.32,100.0,48.96,66.17,48.7,50.0,48.68,58.44,48.58,83.09,57.75,48.76,44.3,42.59,49.25,52.0,46.13,42.53,54.96,44.62,48.78,49.06,27.73,46.48,49.5,1.0,41.06,47.69
Torres de la Alameda,49.38,56.67,33.14,36.41,51.83,48.95,43.45,45.21,47.37,49.35,37.11,48.3,33.08,42.41,52.73,63.93,67.16,35.89,43.47,80.29,38.86,49.53,57.41,50.75,46.55,48.22,30.12,40.82,29.92,2.0,61.65,53.28
Tres Cantos,88.99,84.5,85.05,64.48,0.0,55.65,62.34,84.45,41.77,48.01,83.99,40.48,69.97,64.7,60.51,52.13,50.03,42.22,40.81,98.9,95.04,75.68,49.72,80.63,67.05,46.7,48.25,19.3,44.58,3.0,48.05,60.09
Valdaracete,49.16,44.15,16.87,19.62,56.02,49.07,48.96,46.3,48.7,50.0,48.68,50.05,48.58,57.11,46.53,48.76,44.3,47.32,38.36,46.8,46.13,43.38,63.01,51.59,48.78,47.42,21.67,44.89,51.85,1.0,77.21,50.75
Valdeavero,49.1,43.29,45.04,62.15,59.34,49.07,48.96,46.42,48.7,50.0,48.68,49.92,48.58,56.33,46.53,48.76,44.3,41.09,45.12,46.8,46.13,41.06,78.67,37.38,48.78,47.47,59.8,56.16,45.22,1.0,44.46,44.89
Valdelaguna,49.1,38.59,36.02,42.91,58.5,49.07,48.96,50.32,48.7,50.0,48.68,51.1,48.58,54.91,48.85,48.76,44.3,43.76,49.63,50.65,46.13,41.42,74.69,43.08,48.78,47.42,36.83,50.93,30.88,1.0,68.9,44.06
Valdemanco,49.09,39.7,68.69,42.0,57.96,49.07,48.96,54.85,48.7,50.0,48.68,70.49,48.58,79.06,46.53,48.76,44.3,41.83,50.08,46.8,46.13,42.83,54.14,42.94,48.78,47.42,66.73,52.02,53.99,1.0,41.78,68.32
Valdemaqueda,49.07,43.39,9.5,41.74,57.0,49.07,48.96,67.93,48.7,50.0,48.68,84.11,48.58,87.79,46.53,48.76,44.3,46.7,53.16,46.8,46.13,44.16,32.9,51.05,48.78,47.4,55.03,53.21,57.2,1.0,47.82,43.69
Valdemorillo,38.68,46.34,52.56,53.33,64.13,44.94,46.13,37.6,47.37,49.35,62.97,22.69,61.39,16.9,41.71,42.13,53.14,50.09,35.82,30.11,50.48,48.14,44.41,64.59,46.55,48.27,54.14,60.46,63.99,2.0,21.57,68.64
Valdemoro,51.8,46.28,41.33,88.4,52.44,49.94,34.09,48.97,77.09,40.25,43.31,39.34,45.95,41.23,30.26,24.68,46.98,42.22,17.16,66.55,57.9,41.77,41.16,49.32,45.93,45.51,47.46,32.44,49.91,3.0,56.23,53.59
Valdeolmos-Alalpardo,48.66,48.07,82.13,67.98,18.77,34.09,44.32,75.28,47.37,49.35,54.16,56.18,50.77,84.18,45.45,42.13,41.57,86.19,37.0,44.19,47.71,44.82,57.34,55.95,46.55,47.93,69.79,35.51,50.36,2.0,35.02,58.1
Valdepiélagos,49.12,44.86,58.94,53.38,55.35,49.07,48.96,64.66,48.7,50.0,48.68,77.3,48.58,79.06,46.53,48.76,44.3,45.87,58.28,46.8,46.13,43.45,73.57,37.97,48.78,47.52,79.3,37.47,39.44,1.0,45.67,62.83
Valdetorres de Jarama,41.16,45.32,35.8,33.32,35.83,34.09,43.45,46.08,47.37,49.35,37.11,59.83,33.08,58.98,55.32,42.13,22.69,64.46,99.89,55.15,35.96,48.49,52.09,59.15,46.55,48.03,53.05,37.75,44.77,2.0,53.67,50.98
Valdilecha,41.54,45.95,23.74,44.5,14.49,74.06,43.45,53.54,47.37,49.35,37.11,63.02,33.08,58.73,41.71,42.13,22.69,71.65,52.36,25.62,41.48,41.85,47.84,33.26,46.55,47.88,43.95,34.49,54.74,2.0,64.59,31.95
Valverde de Alcalá,49.07,38.32,56.87,59.75,54.39,49.07,48.96,45.03,48.7,50.0,48.68,36.43,48.58,26.72,46.53,48.76,44.3,48.76,60.65,46.8,46.13,44.28,86.21,40.61,48.78,47.54,65.0,35.69,46.5,1.0,41.36,68.16
Velilla de San Antonio,70.2,51.91,53.76,67.1,65.48,44.9,64.17,36.12,47.37,49.35,58.91,38.22,69.88,33.82,44.15,42.13,53.49,35.89,48.11,36.22,57.79,44.97,74.31,35.92,46.55,48.11,30.84,48.39,28.46,2.0,62.62,41.51
Vellón (El),49.06,39.19,40.01,55.43,60.01,49.07,48.96,46.62,48.7,50.0,48.68,49.66,48.58,52.14,48.87,48.76,44.3,38.64,44.05,46.8,46.13,41.99,77.97,43.85,48.78,47.44,49.4,72.27,35.8,1.0,37.57,38.57
Venturada,49.26,67.47,73.99,73.99,59.65,49.07,48.96,45.92,48.7,50.0,48.68,50.89,48.58,49.18,47.52,48.76,44.3,41.7,43.18,47.12,69.9,43.33,71.93,39.86,48.78,64.88,86.66,70.21,50.99,1.0,23.89,100.0
Villa del Prado,41.82,46.46,43.84,35.96,53.76,52.08,43.45,40.54,47.37,49.35,37.11,36.97,33.08,36.8,48.61,64.87,45.88,35.89,45.33,56.98,52.63,44.14,25.01,51.23,46.55,47.63,41.04,47.51,52.31,2.0,64.12,43.15
Villaconejos,42.5,45.59,24.42,16.31,26.11,96.02,43.45,54.61,47.37,49.35,37.11,50.63,33.08,79.37,46.58,42.13,71.86,85.01,48.01,25.62,26.18,54.4,37.35,41.48,46.55,48.14,30.48,34.93,42.33,2.0,68.16,64.78
Villalbilla,41.28,43.88,76.45,79.76,68.36,47.28,45.88,41.52,47.37,49.35,52.34,26.45,53.07,27.75,48.36,42.13,22.69,64.61,28.31,42.11,45.3,45.59,54.58,72.43,46.55,48.17,47.59,56.77,40.14,2.0,53.24,67.51
Villamanrique de Tajo,49.14,44.62,25.81,43.26,57.23,49.07,48.96,64.66,48.7,50.0,48.68,77.3,48.58,79.06,46.53,48.76,44.3,45.42,53.3,46.8,46.13,42.34,55.5,42.16,48.78,48.5,29.03,47.2,69.61,1.0,68.75,41.63
Villamanta,49.11,43.7,33.2,53.79,60.47,49.07,48.96,46.28,48.7,50.0,48.68,47.27,48.58,46.71,50.13,48.76,73.25,40.22,42.73,52.17,100.0,40.69,79.61,40.89,48.78,47.41,51.56,67.33,39.87,1.0,57.33,44.5
Villamantilla,49.09,40.17,39.59,74.09,58.92,49.07,48.96,46.07,48.7,50.0,48.68,50.46,48.58,51.61,49.66,48.76,44.3,42.09,45.95,46.8,46.13,39.42,70.18,39.91,48.78,47.41,74.1,50.46,46.5,1.0,34.36,55.2
Villanueva de Perales,49.2,42.66,43.42,59.12,59.5,49.07,48.96,46.88,48.7,50.0,48.68,49.87,48.58,53.77,46.53,48.76,68.71,41.31,45.72,46.8,64.3,40.3,75.34,41.9,48.78,49.66,78.0,50.99,42.86,1.0,39.64,41.26
Villanueva de la Cañada,46.1,53.82,82.6,75.87,71.52,36.21,44.2,38.0,47.37,100.0,47.16,42.05,43.62,36.03,48.89,49.24,77.05,43.13,49.52,54.13,81.97,47.33,50.74,63.29,46.55,47.85,100.0,67.02,81.02,2.0,7.81,85.4
Villanueva del Pardillo,40.64,47.99,76.62,87.52,69.57,39.9,44.76,39.68,47.37,49.35,51.57,38.86,51.75,44.86,48.33,42.13,75.15,48.6,46.58,46.72,47.93,48.93,66.33,37.46,46.55,47.75,58.51,54.54,42.58,2.0,34.42,54.71
Villar del Olmo,49.06,40.93,52.27,46.24,59.76,49.07,48.96,100.0,48.7,50.0,48.68,93.64,48.58,100.0,47.64,48.76,44.3,41.1,43.77,46.8,46.13,40.51,77.18,36.54,48.78,47.48,86.66,64.98,52.92,1.0,52.45,82.66
Villarejo de Salvanés,50.19,50.79,13.56,18.2,55.68,43.71,44.51,45.61,81.8,49.35,48.27,42.63,49.61,34.84,43.87,63.54,44.52,35.89,42.7,30.98,51.08,55.47,42.63,46.45,46.55,47.91,27.93,44.77,48.9,2.0,68.54,47.83
Villaviciosa de Odón,49.52,55.53,84.59,17.68,74.58,37.37,44.63,44.18,47.37,49.35,49.92,50.46,44.52,48.83,49.3,47.91,72.78,35.89,51.73,65.46,73.22,42.64,69.24,55.43,46.55,48.09,94.9,79.6,73.72,2.0,17.21,76.69
Villavieja del Lozoya,49.13,40.25,79.54,47.57,50.0,49.07,48.96,52.26,48.7,50.0,48.68,56.51,48.58,65.29,54.37,48.76,44.3,49.01,76.41,46.8,46.13,63.36,33.32,51.72,48.78,47.41,14.3,41.38,50.14,1.0,49.26,32.65
Zarzalejo,49.11,48.37,20.59,53.88,59.68,49.07,48.96,46.02,48.7,50.0,48.68,49.86,48.58,54.5,49.24,48.76,66.1,43.42,44.94,48.59,46.13,42.75,54.12,45.54,91.71,47.43,38.56,64.7,66.19,1.0,33.6,31.78
